Id,Neighborhood,OverallQual,YearBuilt,CentralAir,GrLivArea,FullBath,BedroomAbvGr,GarageCars,SalePrice
1,Somerst,8,2006,Y,1608,2,3,2,284000
2,NAmes,7,2006,Y,1253,1,2,2,246500
3,CollgCr,7,2005,Y,1547,2,3,2,185000
4,CollgCr,5,2001,Y,1456,1,3,2,158000
5,NAmes,5,1969,Y,1339,1,3,1,139000
6,OldTown,5,1910,Y,981,1,2,1,107500
7,OldTown,5,1910,Y,981,1,2,1,107500
8,Somerst,7,2002,Y,1158,2,3,2,239000
9,CollgCr,7,2001,Y,1786,2,3,2,223500
10,NridgHt,9,2005,Y,2338,2,3,3,311500
11,SWISU,6,1963,Y,1547,2,3,2,110000
12,Veenker,6,1976,Y,1262,2,3,2,181500
13,BrkSide,5,1927,N,854,1,2,1,68500
14,CollgCr,7,1990,Y,1297,1,3,2,153000
15,Veenker,6,1976,Y,1262,2,3,2,181500
16,CollgCr,6,1998,Y,1473,2,3,2,219500
17,OldTown,6,1922,Y,1316,1,3,1,118000
18,NAmes,5,1969,Y,1339,1,3,1,139000
19,CollgCr,7,2005,Y,1456,2,3,2,179900
20,Somerst,8,2004,Y,2945,2,3,3,438780
21,NridgHt,9,2005,Y,2338,2,3,3,311500
22,Edwards,4,1920,Y,942,1,3,0,113000
23,BrkSide,5,1922,N,1092,1,3,1,124000
24,NAmes,5,1959,Y,1248,1,2,1,170000
25,OldTown,6,1922,Y,1316,1,3,1,118000
26,NAmes,7,2006,Y,1253,1,2,2,246500
27,NridgHt,7,2005,Y,1718,2,3,3,301000
28,NridgHt,7,2005,Y,1718,2,3,3,301000
29,NWAmes,6,1966,Y,1674,1,3,2,210000
30,NridgHt,7,2005,Y,1718,2,3,3,301000
31,CollgCr,7,2000,Y,1593,2,3,2,177000
32,NAmes,5,1955,Y,1320,1,3,2,180500
33,CollgCr,6,1998,Y,1473,2,3,2,219500
34,CollgCr,7,2001,Y,1786,2,3,2,223500
35,CollgCr,7,2000,Y,1593,2,3,2,177000
36,Somerst,7,2004,Y,1694,2,3,2,307000
37,NAmes,5,1969,Y,1339,1,3,1,139000
38,NAmes,5,1951,Y,1290,1,2,2,144500
39,NAmes,5,1953,Y,1253,2,3,1,109000
40,Somerst,8,2009,Y,1629,2,3,2,325000
41,Crawfor,7,1915,Y,1717,1,3,3,140000
42,OldTown,6,1922,Y,1316,1,3,1,118000
43,NWAmes,6,1971,Y,1494,2,3,2,171000
44,OldTown,7,1931,Y,1774,2,2,2,129900
45,SWISU,6,1963,Y,1547,2,3,2,110000
46,Veenker,6,1976,Y,1262,2,3,2,181500
47,OldTown,6,1922,Y,1316,1,3,1,118000
48,OldTown,6,1920,N,1040,1,3,2,80000
49,Edwards,5,1949,Y,1445,1,3,1,130250
50,NWAmes,6,1973,Y,2090,2,3,2,200000
51,NWAmes,6,1966,Y,1674,1,3,2,210000
52,NridgHt,9,2004,Y,2411,3,4,3,309000
53,CollgCr,7,2004,Y,1560,2,3,2,189000
54,OldTown,4,1932,Y,1235,1,3,1,127000
55,Crawfor,7,1915,Y,1717,1,3,3,140000
56,Veenker,6,1976,Y,1262,2,3,2,181500
57,Mitchel,5,1993,Y,1362,1,1,2,143000
58,BrkSide,5,1920,Y,1013,1,3,1,138000
59,Crawfor,7,1915,Y,1717,1,3,3,140000
60,BrkSide,5,1920,Y,1013,1,3,1,138000
61,OldTown,9,1921,Y,1210,2,3,1,140000
62,Somerst,8,2009,Y,1629,2,3,2,325000
63,Edwards,5,1949,Y,1445,1,3,1,130250
64,Somerst,8,2002,Y,1502,2,3,2,230000
65,ClearCr,6,1952,Y,1484,2,3,2,137000
66,NridgHt,7,2005,Y,1718,2,3,3,301000
67,NWAmes,6,1971,Y,1494,2,3,2,171000
68,NAmes,5,1966,Y,1616,1,3,2,128000
69,NAmes,7,2006,Y,1253,1,2,2,246500
70,CollgCr,7,2005,Y,1547,2,3,2,185000
71,NridgHt,7,2005,Y,1718,2,3,3,301000
72,OldTown,4,1920,Y,1152,2,2,1,82000
73,SWISU,6,1963,Y,1547,2,3,2,110000
74,Somerst,7,2002,Y,1158,2,3,2,239000
75,NridgHt,9,2007,Y,1603,2,3,3,256300
76,OldTown,6,1922,Y,1316,1,3,1,118000
77,CollgCr,6,1977,Y,1108,1,3,2,160000
78,NridgHt,9,2008,Y,1619,2,3,3,315750
79,NAmes,7,2006,Y,1253,1,2,2,246500
80,NAmes,5,1959,Y,1752,2,3,1,141000
81,NridgHt,9,2004,Y,2422,2,3,3,317000
82,OldTown,6,1920,N,1040,1,3,2,80000
83,OldTown,7,1931,Y,1774,2,2,2,129900
84,CollgCr,7,2003,Y,1710,2,3,2,208500
85,NWAmes,6,1973,Y,2090,2,3,2,200000
86,OldTown,9,1921,Y,1210,2,3,1,140000
87,Sawyer,5,1965,Y,1040,1,3,1,129500
88,NWAmes,6,1973,Y,2090,2,3,2,200000
89,NridgHt,9,2004,Y,2411,3,4,3,309000
90,NridgHt,9,2004,Y,2411,3,4,3,309000
91,CollgCr,7,2005,Y,1456,2,3,2,179900
92,NoRidge,8,2000,Y,2198,2,4,3,250000
93,CollgCr,6,1977,Y,1108,1,3,2,160000
94,CollgCr,7,2004,Y,1704,2,3,2,213500
95,Somerst,7,2004,Y,1694,2,3,2,307000
96,NAmes,5,1951,Y,1290,1,2,2,144500
97,CollgCr,7,2005,Y,1547,2,3,2,185000
98,NridgHt,9,2005,Y,2324,3,4,3,345000
99,Somerst,8,2002,Y,1502,2,3,2,230000
100,CollgCr,7,2005,Y,1456,2,3,2,179900
101,NAmes,5,1966,Y,1616,1,3,2,128000
102,Mitchel,6,1994,Y,1328,1,3,2,145500
103,NridgHt,7,2005,Y,1718,2,3,3,301000
104,NAmes,5,1955,Y,1092,1,3,1,147000
105,Edwards,5,1949,Y,1445,1,3,1,130250
106,NridgHt,9,2004,Y,2411,3,4,3,309000
107,NridgHt,9,2004,Y,2422,2,3,3,317000
108,NWAmes,6,1966,Y,1674,1,3,2,210000
109,CollgCr,7,2001,Y,1786,2,3,2,223500
110,CollgCr,7,2003,Y,1710,2,3,2,208500
111,NoRidge,8,2000,Y,2198,2,4,3,250000
112,NWAmes,6,1971,Y,1494,2,3,2,171000
113,NAmes,5,1951,Y,1600,1,3,2,134800
114,OldTown,7,1931,Y,1774,2,2,2,129900
115,NAmes,7,2006,Y,1253,1,2,2,246500
116,NAmes,5,1959,Y,1248,1,2,1,170000
117,CollgCr,7,2000,Y,1593,2,3,2,177000
118,OldTown,9,1921,Y,1210,2,3,1,140000
119,Somerst,8,2006,Y,1608,2,3,2,284000
120,Crawfor,7,1915,Y,1717,1,3,3,140000
121,Mitchel,6,1994,Y,1328,1,3,2,145500
122,NAmes,7,2006,Y,1253,1,2,2,246500
123,CollgCr,7,2008,Y,1447,2,3,2,204000
124,NridgHt,9,2008,Y,1619,2,3,3,315750
125,CollgCr,7,2004,Y,1560,2,3,2,189000
126,Sawyer,5,1962,Y,912,1,2,1,144000
127,Edwards,5,1918,N,1034,1,2,1,85000
128,OldTown,6,1920,N,1040,1,3,2,80000
